Language,Video ID,Controversial Topics (LLM),Derogatory Words (LLM),Derogatory Words (dictionary),Person names,Transcript word count,Transcript unique word count,Transcript non-stopword count,Transcript unique non-stop word count,Derogatory words (dictionary) word count,Derogatory words (LLM) word count,Controversial topics (LLM) word count,Person names word count
te,-0CxY8ee6tE,None,None,None,"[('తనా', 'hindu', 'female'), ('షచ', 'hindu', 'male'), ('క సిద్పట్ట', 'hindu', 'male'), ('జీహనాతవ సషా', 'hindu', 'male'), ('ఏస రు', 'hindu', 'male'), ('మాతో', 'hindu', 'male'), ('త', 'hindu', 'male'), ('నాతర హప్పు', 'hindu', 'male'), ('చందకె', 'hindu', 'male'), ('ష చెప్తండి', 'hindu', 'male'), ('నేటకు', 'hindu', 'male'), ('చేత', 'hindu', 'male'), ('ంచ ట', 'hindu', 'male'), ('చేస్తనిటే', 'hindu', 'female'), ('అ', 'hindu', 'male'), ('ఏసబ', 'hindu', 'male'), ('మాట్లాడకండి', 'hindu', 'male'), ('సీక్రెడ్ మిషన్', 'christian', 'male'), ('చేతా', 'hindu', 'female'), ('నామత', 'hindu', 'female'), ('న్నతషాతు', 'hindu', 'male'), ('అళళ', 'hindu', 'male'), ('వాక్ ధర్మ ఉం', 'hindu', 'male'), ('చత చ', 'hindu', 'male'), ('యహ శంతి', 'hindu', 'male'), ('వర్షత్రటకుచేసి', 'hindu', 'male'), ('ఏి', 'hindu', 'male'), ('బబట్ట', 'hindu', 'male'), ('దిమానతే', 'hindu', 'female'), ('నాపశద్ధు', 'hindu', 'male'), ('నా తెలదు', 'hindu', 'male'), ('చ', 'hindu', 'male'), ('సేఫక', 'hindu', 'male'), ('ే చేసి', 'hindu', 'male'), ('ఇంటిక', 'hindu', 'male'), ('పన్ని చేస్తేన', 'hindu', 'female'), ('నీను', 'hindu', 'male'), ('ఆకాశ', 'hindu', 'male'), ('శమ', 'hindu', 'male'), ('ఆంట', 'hindu', 'female'), ('న కీపాపం', 'hindu', 'male'), ('చాదుక్ట', 'hindu', 'male'), ('కు', 'hindu', 'male'), ('కం స్తంద', 'hindu', 'female'), ('సరస', 'hindu', 'male'), ('డ స్త', 'hindu', 'male'), ('శాంత', 'hindu', 'female'), ('మీచెప', 'hindu', 'male'), ('దేస్ మామకన', 'hindu', 'male'), ('ఎకంచత', 'hindu', 'male'), ('కాసపని', 'hindu', 'male'), ('పస్తు', 'hindu', 'male'), ('వస్తిమరు', 'hindu', 'male'), ('మాదం', 'hindu', 'female'), ('ల మాట్లాడుతున్నా', 'hindu', 'male'), ('చత చటన్నాను', 'hindu', 'male'), ('చ స వకు', 'hindu', 'male'), ('ఐ', 'hindu', 'male'), ('చే', 'hindu', 'male'), ('నావల', 'hindu', 'male'), ('యస', 'hindu', 'male'), ('ర చింసింద', 'hindu', 'male'), ('వీ మాట నిజం కాదు', 'hindu', 'male'), ('నా చావట', 'hindu', 'male'), ('ప వద ంచేయ', 'hindu', 'male'), ('ట చెప్తున్నారు', 'hindu', 'male'), ('ఆ కంే', 'hindu', 'male'), ('మళ్ళీ', 'hindu', 'male'), ('జేత', 'hindu', 'male'), ('చూత', 'hindu', 'male'), ('ఏంటది', 'hindu', 'male'), ('ఆవ', 'hindu', 'male'), ('ఏత చత', 'hindu', 'male'), ('ఆరు', 'hindu', 'male'), ('అంతకు మంచచస', 'hindu', 'male'), ('ఏ', 'hindu', 'male'), ('నా గురించి కాదు', 'hindu', 'male'), ('బాతపడసిన్న', 'hindu', 'male')]",217,130,82,82,None,None,None,"[('తనా', 'hindu', 'female', 1), ('షచ', 'hindu', 'male', 1), ('క సిద్పట్ట', 'hindu', 'male', 1), ('జీహనాతవ సషా', 'hindu', 'male', 1), ('ఏస రు', 'hindu', 'male', 1), ('మాతో', 'hindu', 'male', 1), ('త', 'hindu', 'male', 45), ('నాతర హప్పు', 'hindu', 'male', 1), ('చందకె', 'hindu', 'male', 1), ('ష చెప్తండి', 'hindu', 'male', 1), ('నేటకు', 'hindu', 'male', 1), ('చేత', 'hindu', 'male', 2), ('ంచ ట', 'hindu', 'male', 1), ('చేస్తనిటే', 'hindu', 'female', 1), ('అ', 'hindu', 'male', 5), ('ఏసబ', 'hindu', 'male', 1), ('మాట్లాడకండి', 'hindu', 'male', 1), ('సీక్రెడ్ మిషన్', 'christian', 'male', 1), ('చేతా', 'hindu', 'female', 1), ('నామత', 'hindu', 'female', 1), ('న్నతషాతు', 'hindu', 'male', 1), ('అళళ', 'hindu', 'male', 1), ('వాక్ ధర్మ ఉం', 'hindu', 'male', 1), ('చత చ', 'hindu', 'male', 2), ('యహ శంతి', 'hindu', 'male', 1), ('వర్షత్రటకుచేసి', 'hindu', 'male', 1), ('ఏి', 'hindu', 'male', 1), ('బబట్ట', 'hindu', 'male', 1), ('దిమానతే', 'hindu', 'female', 1), ('నాపశద్ధు', 'hindu', 'male', 1), ('నా తెలదు', 'hindu', 'male', 1), ('చ', 'hindu', 'male', 41), ('సేఫక', 'hindu', 'male', 1), ('ే చేసి', 'hindu', 'male', 1), ('ఇంటిక', 'hindu', 'male', 1), ('పన్ని చేస్తేన', 'hindu', 'female', 1), ('నీను', 'hindu', 'male', 1), ('ఆకాశ', 'hindu', 'male', 1), ('శమ', 'hindu', 'male', 1), ('ఆంట', 'hindu', 'female', 1), ('న కీపాపం', 'hindu', 'male', 1), ('చాదుక్ట', 'hindu', 'male', 1), ('కు', 'hindu', 'male', 6), ('కం స్తంద', 'hindu', 'female', 1), ('సరస', 'hindu', 'male', 1), ('డ స్త', 'hindu', 'male', 1), ('శాంత', 'hindu', 'female', 1), ('మీచెప', 'hindu', 'male', 1), ('దేస్ మామకన', 'hindu', 'male', 1), ('ఎకంచత', 'hindu', 'male', 1), ('కాసపని', 'hindu', 'male', 1), ('పస్తు', 'hindu', 'male', 1), ('వస్తిమరు', 'hindu', 'male', 1), ('మాదం', 'hindu', 'female', 1), ('ల మాట్లాడుతున్నా', 'hindu', 'male', 1), ('చత చటన్నాను', 'hindu', 'male', 1), ('చ స వకు', 'hindu', 'male', 1), ('ఐ', 'hindu', 'male', 1), ('చే', 'hindu', 'male', 10), ('నావల', 'hindu', 'male', 1), ('యస', 'hindu', 'male', 1), ('ర చింసింద', 'hindu', 'male', 1), ('వీ మాట నిజం కాదు', 'hindu', 'male', 1), ('నా చావట', 'hindu', 'male', 1), ('ప వద ంచేయ', 'hindu', 'male', 1), ('ట చెప్తున్నారు', 'hindu', 'male', 1), ('ఆ కంే', 'hindu', 'male', 1), ('మళ్ళీ', 'hindu', 'male', 2), ('జేత', 'hindu', 'male', 1), ('చూత', 'hindu', 'male', 1), ('ఏంటది', 'hindu', 'male', 1), ('ఆవ', 'hindu', 'male', 1), ('ఏత చత', 'hindu', 'male', 1), ('ఆరు', 'hindu', 'male', 1), ('అంతకు మంచచస', 'hindu', 'male', 1), ('ఏ', 'hindu', 'male', 6), ('నా గురించి కాదు', 'hindu', 'male', 1), ('బాతపడసిన్న', 'hindu', 'male', 1)]"
te,-2pLywtwpEY,None,None,None,"[('అమ్మ', 'hindu', 'female'), ('అంకుల్', 'hindu', 'male'), ('అను', 'hindu', 'female'), ('జెండీ సర్', 'hindu', 'male'), ('నాన్న', 'hindu', 'male'), ('సుబ్బు', 'hindu', 'male'), ('రామ్య', 'hindu', 'female'), ('పద్దు', 'hindu', 'female'), ('మల్లె మొక్క', 'hindu', 'male'), ('బుజ్జమ్మ', 'hindu', 'female'), ('ఆర్య సర్', 'hindu', 'male'), ('నీరజ్', 'hindu', 'male')]",1556,831,1029,723,None,None,None,"[('అమ్మ', 'hindu', 'female', 12), ('అంకుల్', 'hindu', 'male', 8), ('అను', 'hindu', 'female', 11), ('జెండీ సర్', 'hindu', 'male', 1), ('నాన్న', 'hindu', 'male', 8), ('సుబ్బు', 'hindu', 'male', 4), ('రామ్య', 'hindu', 'female', 1), ('పద్దు', 'hindu', 'female', 4), ('మల్లె మొక్క', 'hindu', 'male', 2), ('బుజ్జమ్మ', 'hindu', 'female', 12), ('ఆర్య సర్', 'hindu', 'male', 7), ('నీరజ్', 'hindu', 'male', 2)]"
te,-DG3ObKr6Ys,None,None,"ఏడుపుగొట్టు వెధవ , మాల","[('బోరు', 'hindu', 'male'), ('సీత', 'hindu', 'female'), ('పాట', 'hindu', 'male'), ('భరత్', 'hindu', 'male'), ('సినిమా', 'hindu', 'male'), ('థియేటర్', 'hindu', 'male'), ('లక్ష్మణ్', 'hindu', 'male'), ('వదినమ్మ', 'hindu', 'female'), ('మనవడు', 'hindu', 'male'), ('చీదరింపు', 'hindu', 'male'), ('నానిగాడు', 'hindu', 'male'), ('సేలు', 'hindu', 'male'), ('గుడి', 'hindu', 'male'), ('అన్న', 'hindu', 'male'), ('శైలు', 'hindu', 'female'), ('సంతోషం', 'hindu', 'male'), ('గంతులు', 'hindu', 'male'), ('అమ్మ', 'hindu', 'female'), ('హుషారు', 'hindu', 'male'), ('పెద్దోడు', 'hindu', 'male'), ('డాన్స్', 'hindu', 'male'), ('ఆనందం', 'hindu', 'male'), ('బావ', 'hindu', 'male'), ('కూతురు', 'hindu', 'female'), ('రఘురామ్', 'hindu', 'male'), ('శారద', 'hindu', 'female'), ('దుర్గా', 'hindu', 'female'), ('వినాయక చౌతి', 'hindu', 'male'), ('మొగుడు', 'hindu', 'male')]",1725,945,1206,841,"[('ఏడుపుగొట్టు వెధవ', 1), ('మాల', 1)]",None,None,"[('బోరు', 'hindu', 'male', 1), ('సీత', 'hindu', 'female', 11), ('పాట', 'hindu', 'male', 6), ('భరత్', 'hindu', 'male', 2), ('సినిమా', 'hindu', 'male', 14), ('థియేటర్', 'hindu', 'male', 3), ('లక్ష్మణ్', 'hindu', 'male', 3), ('వదినమ్మ', 'hindu', 'female', 2), ('మనవడు', 'hindu', 'male', 1), ('చీదరింపు', 'hindu', 'male', 1), ('నానిగాడు', 'hindu', 'male', 1), ('సేలు', 'hindu', 'male', 5), ('గుడి', 'hindu', 'male', 2), ('అన్న', 'hindu', 'male', 18), ('శైలు', 'hindu', 'female', 3), ('సంతోషం', 'hindu', 'male', 2), ('గంతులు', 'hindu', 'male', 2), ('అమ్మ', 'hindu', 'female', 21), ('హుషారు', 'hindu', 'male', 3), ('పెద్దోడు', 'hindu', 'male', 1), ('డాన్స్', 'hindu', 'male', 5), ('ఆనందం', 'hindu', 'male', 2), ('బావ', 'hindu', 'male', 21), ('కూతురు', 'hindu', 'female', 1), ('రఘురామ్', 'hindu', 'male', 1), ('శారద', 'hindu', 'female', 1), ('దుర్గా', 'hindu', 'female', 2), ('వినాయక చౌతి', 'hindu', 'male', 1), ('మొగుడు', 'hindu', 'male', 1)]"
te,-GNgn-ta9T8,None,None,"ముసలి, తేడా","[('బలరాం', 'hindu', 'male'), ('మీనాక్షి', 'hindu', 'female'), ('అగ్గు', 'hindu', 'male'), ('మామయ్య', 'hindu', 'male'), ('పాపి', 'hindu', 'male'), ('చిన్నత్త', 'hindu', 'female'), ('వసుంధర్ గారు', 'hindu', 'male'), ('గౌతమి', 'hindu', 'female'), ('రాణి', 'hindu', 'female'), ('క్రిష్', 'hindu', 'male')]",1699,916,1169,795,"[('ముసలి', 1), ('తేడా', 1)]",None,None,"[('బలరాం', 'hindu', 'male', 1), ('మీనాక్షి', 'hindu', 'female', 2), ('అగ్గు', 'hindu', 'male', 5), ('మామయ్య', 'hindu', 'male', 1), ('పాపి', 'hindu', 'male', 3), ('చిన్నత్త', 'hindu', 'female', 5), ('వసుంధర్ గారు', 'hindu', 'male', 1), ('గౌతమి', 'hindu', 'female', 7), ('రాణి', 'hindu', 'female', 1), ('క్రిష్', 'hindu', 'male', 5)]"
te,-fWzvsuV1m8,None,None,None,"[('Yogeshwari', 'hindu', 'female'), ('Mohan', 'hindu', 'male'), ('Ganesh', 'hindu', 'male'), ('Sita', 'hindu', 'female'), ('Lakshmi', 'hindu', 'female'), ('Bhargav', 'hindu', 'male'), ('Chandrakala', 'hindu', 'female'), ('Bhaskar', 'hindu', 'male'), ('Lingam', 'hindu', 'male'), ('Hari', 'hindu', 'male'), ('Devi', 'hindu', 'female'), ('Janaki', 'hindu', 'female'), ('Parvati', 'hindu', 'female'), ('Vishnu', 'hindu', 'male'), ('Radha', 'hindu', 'female'), ('Gowri', 'hindu', 'female'), ('Aunty', 'christian', 'female'), ('Janak', 'hindu', 'male'), ('Balaji', 'hindu', 'male'), ('Rama', 'hindu', 'male'), ('Narayana', 'hindu', 'male'), ('Amma', 'hindu', 'female'), ('Jagannath', 'hindu', 'male'), ('Ganga', 'hindu', 'female'), ('Pandit', 'hindu', 'male'), ('Surya', 'hindu', 'male')]",1450,829,989,727,None,None,None,"[('Yogeshwari', 'hindu', 'female', 1), ('Mohan', 'hindu', 'male', 1), ('Ganesh', 'hindu', 'male', 1), ('Sita', 'hindu', 'female', 1), ('Lakshmi', 'hindu', 'female', 1), ('Bhargav', 'hindu', 'male', 1), ('Chandrakala', 'hindu', 'female', 1), ('Bhaskar', 'hindu', 'male', 1), ('Lingam', 'hindu', 'male', 1), ('Hari', 'hindu', 'male', 1), ('Devi', 'hindu', 'female', 1), ('Janaki', 'hindu', 'female', 1), ('Parvati', 'hindu', 'female', 1), ('Vishnu', 'hindu', 'male', 1), ('Radha', 'hindu', 'female', 1), ('Gowri', 'hindu', 'female', 1), ('Aunty', 'christian', 'female', 1), ('Janak', 'hindu', 'male', 1), ('Balaji', 'hindu', 'male', 1), ('Rama', 'hindu', 'male', 1), ('Narayana', 'hindu', 'male', 1), ('Amma', 'hindu', 'female', 1), ('Jagannath', 'hindu', 'male', 1), ('Ganga', 'hindu', 'female', 1), ('Pandit', 'hindu', 'male', 1), ('Surya', 'hindu', 'male', 1)]"
te,-lcuxXH6aw0,None,None,None,"[('ఐశ్వర్య', 'hindu', 'female'), ('అమ్మ', 'hindu', 'female'), ('చిన్నబాబు', 'hindu', 'male'), ('నాన్న', 'hindu', 'male'), ('మహి', 'hindu', 'male'), ('పార్వతి', 'hindu', 'female'), ('భవాని', 'hindu', 'female'), ('అఖిల్', 'hindu', 'male'), ('శేఖర్', 'hindu', 'male'), ('చంద్రముఖి', 'hindu', 'female')]",1187,620,817,536,None,None,None,"[('ఐశ్వర్య', 'hindu', 'female', 18), ('అమ్మ', 'hindu', 'female', 11), ('చిన్నబాబు', 'hindu', 'male', 2), ('నాన్న', 'hindu', 'male', 4), ('మహి', 'hindu', 'male', 8), ('పార్వతి', 'hindu', 'female', 4), ('భవాని', 'hindu', 'female', 5), ('అఖిల్', 'hindu', 'male', 1), ('శేఖర్', 'hindu', 'male', 3), ('చంద్రముఖి', 'hindu', 'female', 20)]"
te,-ltMgYP48Vk,None,None,None, ,1,1,0,0,None,None,None,[]
te,01VygewDr-M,None,None,"ముసలి, ఏడుపుగొట్టు వెధవ ", ,1772,961,1186,852,"[('ముసలి', 1), ('ఏడుపుగొట్టు వెధవ', 1)]",None,None,[]
te,1HrSc6Je3Tc,None,None,None,"[('నిత్య', 'hindu', 'female'), ('బాబాయ్', 'hindu', 'male'), ('మావయ్య', 'hindu', 'male'), ('అత్తయ్య', 'hindu', 'female'), ('మల్లిక', 'hindu', 'female'), ('చంద్రిక', 'hindu', 'female'), ('జయసూర్య', 'hindu', 'male'), ('పిన్నీ', 'hindu', 'female'), ('యురనర్', 'hindu', 'male'), ('జీజీ', 'hindu', 'female'), ('రంగాచార్యులు', 'hindu', 'male')]",926,577,655,505,None,None,None,"[('నిత్య', 'hindu', 'female', 3), ('బాబాయ్', 'hindu', 'male', 1), ('మావయ్య', 'hindu', 'male', 2), ('అత్తయ్య', 'hindu', 'female', 3), ('మల్లిక', 'hindu', 'female', 8), ('చంద్రిక', 'hindu', 'female', 1), ('జయసూర్య', 'hindu', 'male', 4), ('పిన్నీ', 'hindu', 'female', 1), ('యురనర్', 'hindu', 'male', 1), ('జీజీ', 'hindu', 'female', 1), ('రంగాచార్యులు', 'hindu', 'male', 3)]"
te,1N4ZDgS73DM,None,None,None,"[('అమ్మ', 'hindu', 'female'), ('కీర్తి', 'hindu', 'female'), ('నాన్న', 'hindu', 'male'), ('రాములోరి', 'hindu', 'male'), ('కృష్ణా', 'hindu', 'male'), ('సత్య', 'hindu', 'male'), ('రాజమ్మ', 'hindu', 'female'), ('మైసమ్మ', 'hindu', 'female'), ('సూరీ వదినమ్మ', 'hindu', 'female'), ('చెల్లెలు', 'hindu', 'female'), ('రుక్మిణి', 'hindu', 'female'), ('అక్క', 'hindu', 'female')]",1156,631,774,561,None,None,None,"[('అమ్మ', 'hindu', 'female', 13), ('కీర్తి', 'hindu', 'female', 4), ('నాన్న', 'hindu', 'male', 4), ('రాములోరి', 'hindu', 'male', 1), ('కృష్ణా', 'hindu', 'male', 2), ('సత్య', 'hindu', 'male', 2), ('రాజమ్మ', 'hindu', 'female', 1), ('మైసమ్మ', 'hindu', 'female', 1), ('సూరీ వదినమ్మ', 'hindu', 'female', 1), ('చెల్లెలు', 'hindu', 'female', 1), ('రుక్మిణి', 'hindu', 'female', 2), ('అక్క', 'hindu', 'female', 30)]"
